"TEAM","game_id","HOME","PASSINGYARDS","RUSHINGYARDS","TURNOVERS","THIRDDOWN%","REDZONETD%","PENALTYYARDS","OPPONENTPAG","EPA_per_play","PASS_EPA","RUSH_EPA","SUCCESS_RATE","POINTSSCORED"
"PHI","2024_01_GB_PHI",1,278,144,3,0.357142857142857,0.12,26,19.2777777777778,0.105813099889443,0.305770534094024,-0.173315204087139,0.53763440860215,31
"HOU","2024_01_HOU_IND",0,234,213,0,0.444444444444444,0.2,40,24.8823529411765,0.13033609773944,0.208547138786469,0.0781579943823819,0.521276595744681,29
"IND","2024_01_HOU_IND",1,212,104,1,0.454545454545455,0.166666666666667,10,20.8421052631579,0.0946765126137267,-0.144434561697943,0.231138275945741,0.542372881355932,26
"JAX","2024_01_JAX_MIA",0,162,128,1,0.166666666666667,0.222222222222222,90,20.7647058823529,-0.0429449896989073,0.0711062703040539,-0.350182036202079,0.442857142857143,17
"MIA","2024_01_JAX_MIA",1,338,81,0,0.444444444444444,0.0909090909090909,84,25,-0.00628522024112045,0.108088805966922,-0.11035145663456,0.435294117647059,17
"DET","2024_01_LA_DET",1,217,163,1,0.461538461538462,0.105263157894737,40,21.8947368421053,0.0945644867115612,-0.160281880278835,0.363252142712759,0.558441558441558,20
"LA","2024_01_LA_DET",0,317,83,1,0.428571428571429,0.105263157894737,66,21.0555555555556,0.053456859481273,0.0889494295592902,-0.0560492952230388,0.5,20
"LAC","2024_01_LV_LAC",1,144,176,0,0.25,0.142857142857143,35,25.1176470588235,-0.128078170910178,-0.180588139014633,0.0108585050207377,0.373333333333333,22
"LV","2024_01_LV_LAC",0,257,71,3,0.333333333333333,0,30,17.6666666666667,-0.31249444704969,-0.0335866119219426,-0.841489037075503,0.391891891891892,10
"MIN","2024_01_MIN_NYG",0,208,111,2,0.454545454545455,0.2,103,24.0588235294118,0.0943946393976765,0.278845339012332,0.032264130464755,0.462686567164179,28
"NYG","2024_01_MIN_NYG",1,186,74,2,0.4,0,55,19.3333333333333,-0.239991764179377,-0.480719951552322,-0.0808872742983069,0.390804597701149,6
"CIN","2024_01_NE_CIN",1,164,70,1,0.307692307692308,0.142857142857143,35,23.8235294117647,-0.0384047210302792,-0.336472266826164,0.1360956303688,0.491803278688525,10
"NE","2024_01_NE_CIN",0,121,170,1,0.4,0.0714285714285714,15,24.4117647058824,0.0797462706316751,-0.0787751893836071,0.0430145460090393,0.506329113924051,16
"NYJ","2024_01_NYJ_SF",0,203,68,2,0.6,0.181818181818182,15,25,-0.0026216831108622,0.0183468590656732,-0.159838080999748,0.484375,19
"SF","2024_01_NYJ_SF",1,231,180,0,0.5,0.117647058823529,35,23.0588235294118,0.177945872934258,0.137861482052583,0.0683722745334553,0.511627906976744,32
"ATL","2024_01_PIT_ATL",1,155,89,3,0.272727272727273,0.125,54,20.7222222222222,-0.246584575728043,-0.407151613848366,-0.282944227079332,0.485294117647059,10
"PIT","2024_01_PIT_ATL",0,156,137,0,0.421052631578947,0,40,23.8823529411765,-0.0410443523369942,-0.0540910685392371,-0.127662466386368,0.433734939759036,15
"CHI","2024_01_TEN_CHI",1,93,84,1,0.133333333333333,0,60,27,-0.206712436775767,-0.379584505896595,-0.0397965241357333,0.424657534246575,24
"TEN","2024_01_TEN_CHI",0,127,140,3,0.266666666666667,0.111111111111111,45,20.8823529411765,-0.281676619589421,-0.519176554513609,0.0791675329058378,0.402439024390244,17
"TB","2024_01_WAS_TB",1,289,112,0,0.647058823529412,0.2,39,24.5,0.27986223397623,0.66425048551106,-0.174157471332459,0.569620253164557,37
"WAS","2024_01_WAS_TB",0,184,138,0,0.3,0.3,36,21.6666666666667,0.0516651539335492,-0.0644029437709731,0.29290267206319,0.5,20
"ATL","2024_02_ATL_PHI",0,241,152,0,0.222222222222222,0.0666666666666667,48,17.6190476190476,0.141498201146777,0.293003269025195,-0.0167643572159918,0.513888888888889,22
"PHI","2024_02_ATL_PHI",1,183,186,1,0.461538461538462,0.0769230769230769,45,23.8823529411765,0.0907416355770596,0.0581878801318748,0.170537932747994,0.488095238095238,21
"BUF","2024_02_BUF_MIA",0,139,108,0,0.333333333333333,0.25,25,20.7647058823529,0.117222524215986,0.586916467542351,-0.0635361677584866,0.431034482758621,31
"MIA","2024_02_BUF_MIA",1,225,139,3,0.4375,0.0526315789473684,30,21.3,-0.235525018758078,-0.400093653788782,-0.105908206278828,0.471910112359551,10
"CHI","2024_02_CHI_HOU",0,174,71,2,0.380952380952381,0.2,110,20.8421052631579,-0.129871673344165,-0.490031010815094,0.0391448221608616,0.4,13
"HOU","2024_02_CHI_HOU",1,260,75,1,0.25,0,65,20.8823529411765,-0.0628612493909855,0.0412527210273505,-0.504268946774703,0.4,19
"CIN","2024_02_CIN_KC",0,258,74,1,0.285714285714286,0.0909090909090909,54,20.1,0.056322782571939,0.100536792836731,-0.0510402193282392,0.531645569620253,25
"KC","2024_02_CIN_KC",1,151,149,3,0.2,0.0625,69,24.4117647058824,-0.00621319862393771,-0.345302044775487,0.143482003288604,0.538461538461538,23
"CLE","2024_02_CLE_JAX",0,186,125,0,0.1875,0.125,117,25,0.0489843267902487,0.0346098364957152,0.00710590220867369,0.453488372093023,18
