,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
449,CAR,2024_16_ARI_CAR,1,158,243,0,0.4375,0.142857142857143,49,21.4705882352941,0.179733761250918,0.0375812842700448,0.419480596228303,0.465909090909091,30,-0.05596103810676097,0.10132275132275133,17.666666666666668,22.19327731092437
486,CAR,2024_17_CAR_TB,0,203,39,0,0.222222222222222,0.25,25,21.6666666666667,-0.132432217891823,-0.0758222153178016,-0.171369734367965,0.484848484848485,14,0.029123935683167998,0.13227513227513235,20.0,22.12791783380017
515,CAR,2024_18_CAR_ATL,0,270,155,0,0.538461538461538,0.238095238095238,30,23.8823529411765,0.33416975394151,0.609994515807501,0.173734627647028,0.55952380952381,38,-0.014596687778103601,0.16798941798941802,19.333333333333332,23.477124183006534
28,CHI,2024_01_TEN_CHI,1,93,84,1,0.133333333333333,0.0,60,27.0,-0.206712436775767,-0.379584505896595,-0.0397965241357333,0.424657534246575,24,0.023650771679547496,0.1964285714285715,22.0,21.5686274509804
36,CHI,2024_02_CHI_HOU,0,174,71,2,0.380952380952381,0.2,110,20.8421052631579,-0.129871673344165,-0.490031010815094,0.0391448221608616,0.4,13,-0.16957232733379501,0.12500000000000003,19.0,24.33333333333335
68,CHI,2024_03_CHI_IND,0,363,63,3,0.428571428571429,0.0952380952380952,73,24.8823529411765,-0.12529422360954,-0.130541294272588,-0.343641304242608,0.398058252427184,15,-0.16829205505996603,0.10000000000000003,18.5,23.921052631578952
110,CHI,2024_04_LA_CHI,1,157,131,0,0.384615384615385,0.133333333333333,74,21.8947368421053,0.057077074472892,0.0801351996267567,0.0863833224676245,0.525641025641026,24,-0.1539594445764907,0.09841269841269844,17.333333333333332,24.241486068111467
135,CHI,2024_05_CAR_CHI,1,304,128,0,0.416666666666667,0.103448275862069,41,30.8235294117647,0.139559556208067,0.456223038212429,0.006094695810235,0.454545454545455,36,-0.06602960749360434,0.14285714285714277,17.333333333333332,22.539731682146567
172,CHI,2024_06_JAX_CHI,1,226,152,1,0.466666666666667,0.285714285714286,29,25.0,0.273882218332695,0.446032625512089,0.104089394956285,0.551282051282051,35,0.02378080235713966,0.11067323481116575,25.0,25.866873065015497
224,CHI,2024_08_CHI_WAS,0,131,202,1,0.133333333333333,0.0909090909090909,51,24.5,-0.0816230825988817,-0.295882902279114,0.011831952373596,0.4375,13,0.15683961633788465,0.17416529830322935,31.666666666666668,25.90608875129
