TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
LV,2024_07_LV_LA,0,206,122,4,0.235294118,0,69,21.89473684,15
IND,2024_07_MIA_IND,1,129,155,1,0.307692308,0.076923077,25,20.76470588,16
MIA,2024_07_MIA_IND,0,161,188,2,0.4375,0.111111111,50,24.88235294,10
JAX,2024_07_NE_JAX,1,193,171,0,0.6,0.115384615,5,23.82352941,31
NE,2024_07_NE_JAX,0,276,38,0,0.4,0.142857143,54,25,16
NYJ,2024_07_NYJ_PIT,0,276,54,2,0.3,0.181818182,37,20.72222222,15
PIT,2024_07_NYJ_PIT,1,264,149,0,0.357142857,0.153846154,49,23.05882353,36
NYG,2024_07_PHI_NYG,1,105,76,0,0.176470588,0,45,17.61904762,3
PHI,2024_07_PHI_NYG,0,114,269,0,0.071428571,0.157894737,25,24.05882353,28
ATL,2024_07_SEA_ATL,1,246,155,3,0.444444444,0.181818182,42,21.23529412,14
SEA,2024_07_SEA_ATL,0,242,103,0,0.461538462,0.181818182,72,23.88235294,34
BUF,2024_07_TEN_BUF,1,323,74,0,0.363636364,0.2,27,27,33
TEN,2024_07_TEN_BUF,0,215,89,2,0.388888889,0.090909091,65,21.3,10
ARI,2024_08_ARI_MIA,0,307,82,0,0.466666667,0.125,34,20.76470588,25
MIA,2024_08_ARI_MIA,1,234,150,0,0.733333333,0.1875,10,21.47058824,27
ATL,2024_08_ATL_TB,0,276,129,0,0.538461538,0.166666667,40,21.66666667,31
TB,2024_08_ATL_TB,1,330,102,3,0.642857143,0.272727273,48,23.88235294,26
BAL,2024_08_BAL_CLE,0,289,124,0,0.25,0.214285714,97,25.58823529,24
CLE,2024_08_BAL_CLE,1,334,80,1,0.5,0,30,20.73684211,29
BUF,2024_08_BUF_SEA,0,283,164,2,0.5625,0.16,107,21.23529412,31
SEA,2024_08_BUF_SEA,1,212,32,1,0.125,0.066666667,60,21.3,10
CAR,2024_08_CAR_DEN,0,224,69,2,0.294117647,0.2,83,18.38888889,13
DEN,2024_08_CAR_DEN,1,315,102,2,0.647058824,0.173913043,9,30.82352941,28
CHI,2024_08_CHI_WAS,0,131,202,1,0.133333333,0.090909091,51,24.5,13
WAS,2024_08_CHI_WAS,1,326,168,0,0.3125,0,39,20.88235294,12
DAL,2024_08_DAL_SF,0,243,56,2,0.384615385,0.2,58,25,24
SF,2024_08_DAL_SF,1,260,223,0,0.470588235,0.2,45,27.29411765,30
GB,2024_08_GB_JAX,0,252,170,1,0.333333333,0.095238095,51,25,27
JAX,2024_08_GB_JAX,1,308,91,2,0.090909091,0.272727273,28,19.27777778,26
HOU,2024_08_IND_HOU,1,285,96,1,0.357142857,0.142857143,32,24.88235294,23
IND,2024_08_IND_HOU,0,175,150,2,0.153846154,0.125,55,20.84210526,20
KC,2024_08_KC_LV,0,262,82,1,0.75,0.166666667,50,25.11764706,27
LV,2024_08_KC_LV,1,209,33,1,0.466666667,0.090909091,37,20.1,19
LA,2024_08_MIN_LA,1,279,107,1,0.5,0.166666667,80,19.33333333,30
MIN,2024_08_MIN_LA,0,240,64,0,0.285714286,0.153846154,10,21.89473684,20
LAC,2024_08_NO_LAC,1,279,122,0,0.25,0.125,32,23.11764706,25
NO,2024_08_NO_LAC,0,281,117,0,0.111111111,0,68,17.66666667,8
NYG,2024_08_NYG_PIT,0,264,157,2,0.277777778,0,70,20.72222222,18
